initial position index,timestep,xD,yD,thetaD,deltaD,vD,tdiffD
0,0,-4.10E-35,10,9.52E-32,0.523598781,0.691349378,1.9509524
0,1,1.216701827,10.49922417,0.778724123,0.064988019,0.682204427,1.758538573
0,2,2.036903872,11.37431075,0.856799078,-0.29283048,0.789634568,1.473424517
0,3,2.935932151,12.10341565,0.5060162,0.430007776,0.639598711,1.69999591
0,4,3.719369174,12.84113716,1.004692041,-0.198622583,0.587262008,1.675470919
0,5,4.325624803,13.61407552,0.806648038,0.516581266,0.553410963,1.637856717
0,6,4.760679002,14.39788225,1.321515978,-0.000984244,0.445627741,1.884191003
0,7,4.968161867,15.21149101,1.32068956,0.523597058,0.462270652,1.820531997
0,8,4.974132653,16.04481034,1.806573213,0.033415387,0.447839119,1.971199869
0,9,4.755282555,16.89999999,1.836082646,0.362054001,0.463818117,2.114938425
0,10,4.330127035,17.77777779,2.207615917,-0.069283695,0.535925061,2.033829821
0,11,3.715724102,18.67777776,2.131976982,0.225630992,0.56765333,2.130985595
0,12,2.938926273,19.6,2.409641994,-0.113509998,0.597469168,2.191636903
0,13,2.033683213,20.54444443,2.260366309,0.156798689,0.627724744,2.213415104
0,14,1.039558459,21.51111112,2.480027972,-0.136721695,0.65386313,2.197883895
0,15,-1.68E-08,22.49999998,2.28230963,0.120289021,0.695866923,2.08666968
0,16,-1.039558448,23.51111112,2.45782197,-0.166746579,0.688610536,2.087389711
0,17,-2.033683224,24.54444444,2.215894292,0.091430664,0.698169235,1.993077443
0,18,-2.938926237,25.60000002,2.34347626,-0.218687158,0.69505604,1.91842168
0,19,-3.715724141,26.67777777,2.047137315,0.052390827,0.672307034,1.874420338
0,20,-4.330127001,27.77777778,2.113219973,-0.290382988,0.640686686,1.883255128
0,21,-4.755282597,28.9,1.752658809,0.009958101,0.597381588,1.9500151
0,22,-4.972609462,30.04444444,1.764259414,-0.318376466,0.569787964,2.060357768
0,23,-4.97260951,31.21111111,1.377333321,0.020947841,0.552328813,2.188228149
0,24,-4.755282572,32.4,1.402655036,-0.256981522,0.556323567,2.318303017
0,25,-4.330127037,33.61111112,1.063725154,0.06504783,0.60440655,2.28051895
0,26,-3.715724123,34.84444444,1.15351119,-0.182627388,0.640006278,2.314096073
0,27,-2.93892627,36.1,0.879985724,0.094695756,0.718721654,2.180803713
0,28,-2.033683215,37.37777777,1.02885624,-0.134447918,0.80671153,2.032827051
0,29,-1.039558457,38.67777778,0.807036253,0.115214582,0.899758719,1.872255765
0,30,-1.97E-05,39.99996919,1.00198764,1.24E-11,0.626894916,1.29E-05
1,0,1.039558454,10.67777778,7.98E-34,0.523598782,0.87864605,1.514406588
1,1,2.243255456,11.16430822,0.76823808,0.122886469,0.092058698,11.00134527
1,2,2.925720058,11.91170883,0.89332403,-0.041308091,0.70554917,1.732642879
1,3,3.715724161,12.84444441,0.842797603,0.106234334,0.58770929,1.672477783
1,4,4.33012698,13.61111114,0.947613198,0.279330519,0.512151571,1.754645355
1,5,4.755282598,14.39999999,1.205371028,0.241583218,0.446524187,1.883942838
1,6,4.972609435,15.21111111,1.412645243,0.361383731,0.460258371,1.818140603
1,7,4.972609501,16.04444445,1.728947251,0.202204873,0.449083735,1.968308292
1,8,4.755282576,16.9,1.910159756,0.224696208,0.464257854,2.105189814
1,9,4.33012703,17.77777778,2.133538863,0.066432211,0.530356683,2.055143995
1,10,3.715724121,18.67777777,2.206053979,0.106924028,0.550623698,2.19137749
1,11,2.938926263,19.6,2.335565051,-0.000857516,0.597838682,2.188249735
1,12,2.033683216,20.54444444,2.334443231,0.051513108,0.627520966,2.210157719
1,13,1.039558464,21.5111111,2.405951068,-0.034527892,0.653810028,2.194709634
1,14,6.19E-09,22.49999999,2.356386497,0.018862839,0.675703443,2.146247912
1,15,-1.039558448,23.51111111,2.383745142,-0.065281162,0.69156856,2.074158639
1,16,-2.033683217,24.54444444,2.2899711,-0.01479239,0.698484845,1.990861318
1,17,-2.93892626,25.6,2.269399503,-0.110980167,0.693911842,1.916319239
1,18,-3.715724131,26.67777778,2.121214012,-0.065027626,0.673213825,1.872080341
1,19,-4.330127013,27.77777778,2.039143307,-0.174861239,0.638954104,1.881694472
1,20,-4.755282593,28.9,1.826735452,-0.116600638,0.598615019,1.947498747
1,21,-4.972609469,30.04444445,1.690182789,-0.201408546,0.568814969,2.055925855
1,22,-4.972609485,31.21111111,1.451409892,-0.10122105,0.553482766,2.184980735
1,23,-4.755282576,32.4,1.328578513,-0.147329557,0.55532915,2.314872567
1,24,-4.330127021,33.61111111,1.137801643,-0.042328084,0.624099548,2.208130562
1,25,-3.715724126,34.84444444,1.079434733,-0.08465781,0.604609344,2.443550706
1,26,-2.938926262,36.1,0.954062171,0.000458274,0.719108836,2.177617747
1,27,-2.033683216,37.37777778,0.954779801,-0.044973244,0.806033355,2.030829696
1,28,-1.039558454,38.67777778,0.881112685,0.027816782,0.899754433,1.869473701
1,29,-2.13E-05,39.99997155,0.927914455,-0.004299893,1.62E-05,0.624971083
2,0,2.033683215,11.37777778,-3.19E-31,0.523598783,0.708223448,1.790374246
2,1,3.191523784,11.82158909,0.732071506,0.203617335,0.093290476,12.06556162
2,2,3.934183884,12.66405307,0.964484444,0.320030634,0.629310922,1.638618347
2,3,4.367032751,13.59449167,1.306248397,-0.319918019,0.518773716,1.721112758
2,4,4.723641592,14.40950797,1.010442616,0.523598561,0.491505726,1.730753046
2,5,4.98438705,15.21029437,1.501579832,0.196969369,0.459298489,1.81842391
2,6,4.972609437,16.04444444,1.668249542,0.329086694,0.450272796,1.967920517
2,7,4.755282606,16.90000001,1.970857247,0.104141372,0.463476487,2.105271365
2,8,4.330127004,17.77777777,2.072841497,0.175831197,0.534860599,2.040586237
2,9,3.715724131,18.67777778,2.266751271,0.006731214,0.553269274,2.179381274
2,10,2.938926259,19.6,2.274867788,0.091623466,0.598141006,2.188462243
2,11,2.033683222,20.54444444,2.395140477,-0.035957791,0.627353219,2.210506956
2,12,1.039558452,21.51111111,2.345253837,0.050010971,0.653853284,2.194811588
2,13,9.72E-09,22.49999999,2.417083714,-0.064729674,0.675888908,2.146382755
2,14,-1.039558462,23.5111111,2.32304795,0.019259414,0.691365362,2.074074115
2,15,-2.033683213,24.54444444,2.350668267,-0.101655154,0.698924258,1.991246057
2,16,-2.938926274,25.59999999,2.20870237,-0.0201626,0.693422537,1.91597498
2,17,-3.715724123,26.67777778,2.181911108,-0.159832194,0.673775237,1.873223944
2,18,-4.330127024,27.77777777,1.978446245,-0.075670208,0.638131399,1.881231024
2,19,-4.75528257,28.9,1.887432453,-0.217332321,0.599462092,1.948631255
2,20,-4.972609482,30.04444444,1.629485852,-0.100216044,0.56767985,2.05632914
2,21,-4.972609466,31.21111111,1.512106775,-0.198907553,0.554536237,2.184882536
2,22,-4.755282591,32.4,1.267881687,-0.053991609,0.554591144,2.314904814
2,23,-4.330127017,33.61111111,1.198498439,-0.129554699,0.625111026,2.207214546
2,24,-3.715724131,34.84444445,1.018737953,-0.002695023,0.639028377,2.310425235
2,25,-2.938926264,36.09999999,1.014758939,-0.076864232,0.708733033,2.210838968
2,26,-2.033683216,37.37777778,0.894083039,0.029151851,0.806490768,2.029411583
2,27,-1.039558453,38.67777778,0.941809443,-0.044308505,0.899754399,1.869736557
2,28,-2.30E-05,39.99997289,0.867220264,0.006796021,1.62E-05,0.625486505
